,data,model,train_rmse_1,train_rmse_2,train_rmse_3,train_rmse_4,train_rmse_5,test_rmse_1,test_rmse_2,test_rmse_3,test_rmse_4,test_rmse_5,train_mape_1,train_mape_2,train_mape_3,train_mape_4,train_mape_5,test_mape_1,test_mape_2,test_mape_3,test_mape_4,test_mape_5,mean_train_rmse,mean_test_rmse,mean_train_mape,mean_test_mape,med_train_rmse,med_test_rmse,med_train_mape,med_test_mape,max_train_rmse,max_test_rmse,max_train_mape,max_test_mape,HL_train_rmse,HL_test_rmse,HL_train_mape,HL_test_mape
0,log_B_Q_V_designed,XGB,43.022606748505986,55.11173662110462,33.8923540049021,40.86807263884878,34.910606770998534,108.72170126783438,92.18146747132722,107.65455059350724,123.37951334775914,106.54438870834909,4.450965502376236,5.246418667636558,3.4697733526837475,3.902025077005769,3.443039714178793,10.522024832139909,9.046087541572172,9.280421677092697,12.839076240854475,10.746129472322979,41.561075356872,107.69632427775541,4.102444462776221,10.486747952796446,40.86807263884878,107.65455059350724,3.902025077005769,10.522024832139909,55.11173662110462,123.37951334775914,5.246418667636558,12.839076240854475,40.86807263884878,107.65455059350724,3.960369427529992,10.522024832139909
1,log_B_Q_V_designed,RF,59.94896899279658,60.92073947321184,59.935626069611146,55.5519784910337,61.6215558213217,98.98283734099138,88.51003416017964,97.33488111499648,108.54409948251406,95.90163129360002,6.178127831573695,5.805320347380277,6.216312520707806,5.387237485326535,6.298649397478668,9.195440753567953,8.905943372403293,9.130106639630899,11.926648027490293,10.048055095109916,59.595773769595,97.8546966784563,5.977129516493396,9.84123877764047,59.94896899279658,97.33488111499648,6.178127831573695,9.195440753567953,61.6215558213217,108.54409948251406,6.298649397478668,11.926648027490293,59.94896899279658,97.4422343172957,6.010816434044042,9.589080867370408
2,log_B_Q_V_designed,SVR,81.93646386710837,89.65718745542031,80.41634749368484,74.37620300985022,85.4041185765487,89.44635712544854,90.87286723506423,112.44295034606112,108.84234295487181,96.06036586459967,8.06663014760165,8.094102969950836,7.511045453024309,6.893794572110416,7.655235162004715,8.122212274636771,9.02175023160541,9.232472864209605,11.896808885289962,10.442946701852307,82.35806408052248,99.53297670520908,7.644161660938385,9.743238191518811,81.93646386710837,96.06036586459967,7.655235162004715,9.232472864209605,89.65718745542031,112.44295034606112,8.094102969950836,11.896808885289962,82.01669523263527,99.85760509496802,7.655235162004715,9.732348466728858
3,log_B_Q_V_designed,EN,109.62792559753011,113.57081899780431,114.16402415137611,108.35926305055109,111.60328638489952,113.1647792058499,113.06454746182739,112.1614052593715,123.72627993556146,116.50428060956776,11.523159977824031,11.54953596697204,11.732692308390511,10.79697994087355,11.261303215264647,10.640659975944661,11.300536657959503,10.051023789602048,14.288023202434616,12.19800386786902,111.46506363643223,115.72425849443562,11.372734281864956,11.69564949876197,111.60328638489952,113.1647792058499,11.523159977824031,11.300536657959503,114.16402415137611,123.72627993556146,11.732692308390511,14.288023202434616,111.5993722976672,114.78441403569758,11.405419591118344,11.41933192190684
4,log_B_Q_V_designed,RR,109.75940323449292,113.5309562261605,114.20368320453554,108.39153680834463,111.1865426358936,112.48331243938384,113.31835158315151,112.62131498968948,123.87006979196087,115.80915657874147,11.533955708917405,11.547294922342072,11.729456927035859,10.802206779214035,11.205361898440252,10.608326126426029,11.314878859976185,10.097916487684747,14.298279361137991,12.210869416109519,111.41442442188543,115.62044107658544,11.363655247189923,11.706054050266895,111.1865426358936,113.31835158315151,11.533955708917405,11.314878859976185,114.20368320453554,123.87006979196087,11.729456927035859,14.298279361137991,111.29761000644008,114.21523578421548,11.376328410391162,11.409597771267773
5,log_B_Q_V_designed,PLS,109.62792559753011,113.4943053527395,114.16402415137617,108.3465133403216,111.15266476429181,113.1647792058499,113.24372798539947,112.1614052593714,123.66608239435998,115.52850843597899,11.523159977824031,11.542376423197833,11.732692308390511,10.79529618914993,11.189664614121412,10.640659975944661,11.306088493689963,10.051023789602027,14.28352427418043,12.237059639604283,111.35708664125184,115.55290065619195,11.356637902536743,11.703671234604272,111.15266476429181,113.24372798539947,11.523159977824031,11.306088493689963,114.16402415137617,123.66608239435998,11.732692308390511,14.28352427418043,111.25526874584888,114.34664382091444,11.366020518659623,11.438859807774472
6,log_B_Q_V_designed,SPLS,109.62792559753011,113.4943053527395,114.16402415137617,108.3465133403216,111.15266476429181,113.1647792058499,113.24372798539947,112.1614052593714,123.66608239435998,115.52850843597899,11.523159977824031,11.542376423197833,11.732692308390511,10.79529618914993,11.189664614121412,10.640659975944661,11.306088493689963,10.051023789602027,14.28352427418043,12.237059639604283,111.35708664125184,115.55290065619195,11.356637902536743,11.703671234604272,111.15266476429181,113.24372798539947,11.523159977824031,11.306088493689963,114.16402415137617,123.66608239435998,11.732692308390511,14.28352427418043,111.25526874584888,114.34664382091444,11.366020518659623,11.438859807774472
7,log_B_Q_V_designed,ALVEN1,109.12070735913022,113.96374287787947,114.3964259068831,108.6543425800454,111.03395139759361,117.15028117291638,111.7728627607669,113.18976222786463,123.33556267057914,117.61303934204452,11.478081357297087,11.624718171881476,11.782069112905738,10.836829452044075,11.213382249156526,10.9220488967678,11.19713284580956,10.124167795283691,14.24847459457459,12.300651621710724,111.43383402430636,116.61230163483431,11.38701606865698,11.758495150829273,111.03395139759361,117.15028117291638,11.478081357297087,11.19713284580956,114.3964259068831,123.33556267057914,11.782069112905738,14.24847459457459,111.52538424346425,117.15028117291638,11.419050210519,11.611350259239263
8,log_B_Q_V_designed,LCEN1,109.24575662171705,113.7569257675711,114.3293450726734,108.33542176027107,111.55211938629371,116.06797831852813,112.46486565838738,114.96862715774415,124.51195449937515,117.71616278546524,11.485134254537693,11.555580654451067,11.750308969111092,10.780762034565562,11.270990629851147,10.839554456891769,11.17657350004126,10.293352986002619,14.361736469098936,12.214275513222363,111.44391372170526,117.14591768390001,11.368555308503312,11.777098585051387,111.55211938629371,116.06797831852813,11.485134254537693,11.17657350004126,114.3293450726734,124.51195449937515,11.750308969111092,14.361736469098936,111.50134119464408,116.3423949716047,11.413285642151106,11.526914985057065
9,log_B_Q_V_designed,ALVEN2,107.60616157401222,114.31102435989818,114.67196835614878,109.23093082745957,112.33539854346002,151.77832971637847,110.89696702447033,112.29916484592216,124.11419679813223,118.45092825908598,11.1221236980944,11.648084012900451,11.75207627350334,10.861256976690148,11.31227402510448,12.68177692723736,11.102551824527893,10.06355264574549,14.148116646206097,12.376452685820283,111.63109673219576,123.50791732879784,11.339162997258565,12.074490145907424,112.33539854346002,118.45092825908598,11.31227402510448,12.376452685820283,114.67196835614878,151.77832971637847,11.75207627350334,14.148116646206097,111.77097759367888,118.45092825908598,11.31227402510448,12.105834645975794
