,Region,State_var,Significance,if_tsfresh,if_log,model,train_rmse_1,train_rmse_2,train_rmse_3,train_rmse_4,train_rmse_5,test_rmse_1,test_rmse_2,test_rmse_3,test_rmse_4,test_rmse_5,train_mape_1,train_mape_2,train_mape_3,train_mape_4,train_mape_5,test_mape_1,test_mape_2,test_mape_3,test_mape_4,test_mape_5,mean_train_rmse,mean_test_rmse,mean_train_mape,mean_test_mape,med_train_rmse,med_test_rmse,med_train_mape,med_test_mape,max_train_rmse,max_test_rmse,max_train_mape,max_test_mape,HL_train_rmse,HL_test_rmse,HL_train_mape,HL_test_mape
1559,A,t_V,2,TRUE,TRUE,XGB,0.144062652,0.13451592,3.950982297,0.153558308,0.117536684,117.006214,139.9744435,187.616244,129.5936231,174.7157319,0.013839908,0.007945575,0.405362237,0.015403199,0.008887199,11.71683258,17.05328704,16.39374868,16.52316559,21.44517864,0.900131172,149.7812513,0.090287624,16.6264425,0.144062652,139.9744435,0.013839908,16.52316559,3.950982297,187.616244,0.405362237,21.44517864,0.144062652,152.1546775,0.013839908,16.58100561
165,A,Q_V,5,TRUE,FALSE,LCEN,131.5204631,133.3712717,133.8799416,134.0399068,133.3010671,153.9905761,156.3108567,182.6523197,166.0096647,139.3541433,13.41171753,13.63614434,13.28551543,13.84289772,13.45464954,14.9016845,17.58189761,15.80690758,17.39283801,17.2616284,133.2225301,159.6635121,13.52618491,16.58899122,133.3712717,156.3108567,13.45464954,17.2616284,134.0399068,182.6523197,13.84289772,17.58189761,133.3712717,160.0001204,13.52393094,16.5998728
110,A,Q_V,0.5,TRUE,FALSE,EN,122.5575006,122.2636943,78.83170092,119.0850879,120.2218491,156.1488716,139.1704271,213.9155369,150.5229594,140.8854046,12.69816669,12.63995216,8.35676358,12.45979553,12.53887904,14.51209128,16.13579586,18.87945747,16.22808227,17.06453807,112.5919666,160.1286399,11.7387114,16.56399299,120.2218491,150.5229594,12.53887904,16.22808227,122.5575006,213.9155369,12.69816669,18.87945747,120.2218491,150.5229594,12.53887904,16.60016697
104,A,Q_V,0,TRUE,FALSE,EN,121.1340852,111.0855178,79.78366487,119.0850414,106.4774446,154.9254575,149.7821745,202.7926034,150.5229453,138.7534504,12.5159612,11.41854742,8.173806569,12.45978854,11.12035856,14.4981506,17.80760755,17.20006909,16.22807508,16.60170222,107.5131508,159.3553262,11.13769246,16.46712091,111.0855178,150.5229453,11.41854742,16.60170222,121.1340852,202.7926034,12.5159612,17.80760755,111.0855178,152.353816,11.41854742,16.60170222
277,A,t_V,6,FALSE,FALSE,RF,33.72814206,38.02904612,33.45434701,38.08456257,81.25736305,108.9710055,132.7739359,184.6800223,128.4479327,141.6293379,3.350260113,3.509878796,3.301719964,3.474820777,8.831029543,11.09147726,16.45292835,16.64778849,16.97913725,16.75454342,44.91069216,139.3004469,4.493541839,15.58517496,38.02904612,132.7739359,3.474820777,16.64778849,81.25736305,184.6800223,8.831029543,16.97913725,38.02904612,135.0386353,3.474820777,16.60373589
1378,A,Q_V,4,TRUE,TRUE,ALVEN,146.2135337,144.2785863,138.1298329,150.9839726,162.2581485,151.5586436,153.6537465,190.1605593,163.8063182,163.760635,14.09426155,13.7911164,12.91009898,15.15684043,16.42095056,13.74088105,16.35107244,15.82388558,17.40705478,19.5559509,148.3728148,164.5879805,14.47465359,16.57576895,146.2135337,163.760635,14.09426155,16.35107244,162.2581485,190.1605593,16.42095056,19.5559509,147.6312794,163.760635,14.47397842,16.61547018
227,A,t_V,1.5,FALSE,FALSE,XGB,0.152379971,0.103932368,0.116899789,4.583410793,14.24167942,148.033741,157.4946333,178.8067688,119.7543654,164.053428,0.016593114,0.010866895,0.013140924,0.498581919,1.545887951,15.76421664,17.86611057,15.38461842,15.15880785,20.4568761,3.839660468,153.6285873,0.417014161,16.92612592,0.152379971,157.4946333,0.016593114,15.76421664,14.24167942,178.8067688,1.545887951,20.4568761,2.350155291,156.0435845,0.255861422,16.6253645
1346,A,Q_V,1.5,TRUE,TRUE,EN,139.1101865,85.73613929,143.6497807,127.6219021,150.4114746,170.7385352,298.7279306,189.3054455,181.1228744,146.5410356,13.29869126,7.886797891,13.77141456,12.1648701,14.61492525,14.87377763,28.46603794,15.50023469,16.62984647,17.2466969,129.3058967,197.2871643,12.34733981,18.54331873,139.1101865,181.1228744,13.29869126,16.62984647,150.4114746,298.7279306,14.61492525,28.46603794,135.6358414,181.1228744,12.96814233,16.62984647
1372,A,Q_V,3.5,TRUE,TRUE,ALVEN,154.161038,144.2290032,137.4607493,150.9368462,162.2581485,154.9245749,153.7553553,190.9017941,164.1316051,163.760635,15.1211809,13.78468694,12.85998377,15.15418039,16.42095056,14.2859489,16.41454087,15.83226912,17.43489286,19.5559509,149.809157,165.4947929,14.66819651,16.70472053,150.9368462,163.760635,15.1211809,16.41454087,162.2581485,190.9017941,16.42095056,19.5559509,149.8594489,163.760635,14.64046717,16.63358099
46,A,Q_V,3.5,FALSE,FALSE,ALVEN,115.7846625,133.9694629,123.5914971,147.6609398,146.7142401,146.3598618,148.4884408,177.3535471,163.9715469,151.2281118,12.02400936,13.80662205,12.78907971,15.72017818,15.48560649,13.46654068,16.69856331,14.62266721,18.8087225,18.65663636,133.5441605,157.4803017,13.96509916,16.45062601,133.9694629,151.2281118,13.80662205,16.69856331,147.6609398,177.3535471,15.72017818,18.8087225,133.9694629,156.2299938,13.87209377,16.63965179
1533,A,t_V,0,TRUE,TRUE,LCEN,78.97299919,122.7662767,92.90302204,100.8812085,94.2638347,227.7395212,101.2275884,198.5674114,279.6608229,137.1883143,8.537107498,11.71728757,9.450552274,10.26686467,9.569805577,16.91499823,11.3557494,16.64845743,24.39035772,13.84758258,97.95746821,188.8767317,9.908323518,16.63142907,94.2638347,198.5674114,9.569805577,16.64845743,122.7662767,279.6608229,11.71728757,24.39035772,96.89211525,190.4442057,9.858708472,16.64845743
1444,A,t_V,1,FALSE,TRUE,ALVEN,122.6590255,67.97828178,89.12955095,128.1118043,88.20284484,154.5932974,141.3791991,194.4520873,170.945107,150.8563905,12.52841245,6.674154922,9.110263077,12.56670125,8.707677499,14.35077022,17.13662642,16.65716837,19.94082215,14.99923569,99.21630148,162.4452163,9.917441839,16.61692457,89.12955095,154.5932974,9.110263077,16.65716837,128.1118043,194.4520873,12.56670125,19.94082215,98.04504304,160.9007488,9.620428086,16.65716837
