seq_num,rpt_low_life,rpt_med_life,regu_life,regu_knee,q_throughput,e_throughput
197,796.2603659,771.816402,619,386,139.637085,547.7075195
198,848.6069211,788.7116181,562,459,126.5990219,495.7676697
199,893.9796097,839.3469261,615,491,138.781189,544.7392578
200,882.6240124,825.8919232,582,501,130.3893738,511.6002197
201,779.693111,769.4058738,684,469,154.6409302,608.9783936
202,868.9709903,820.2636494,624,516,140.8962402,554.2817383
203,752.7398783,736.0795612,655,529,150.275589,590.0717773
204,808.5434731,769.5348524,599,483,134.7825928,529.8539429
205,841.5582957,827.1170317,710,461,163.3462982,642.3357544
206,994.8552305,953.1285111,725,606,162.1891479,641.6605225
207,960.8296718,893.7057534,690,573,154.3789063,605.762146
208,708.1338378,699.1084109,638,380,144.9831848,569.1546631
209,756.1360286,734.8851354,611,479,139.1327667,546.1311035
210,724.2579192,714.8999682,650,459,144.7643433,569.5108643
211,854.1712726,798.3948405,735,472,167.2586365,656.1949463
212,725.7682255,723.2660131,691,461,155.3018188,610.2852173
213,872.5222353,818.4855506,616,368,138.8422089,545.3526001
214,941.2863782,935.7942356,905,667,203.0851898,797.277832
215,790.5509386,786.3421181,768,496,172.6552277,676.866333
216,903.6091805,892.7412547,824,569,183.2087402,718.1539307
217,880.2669383,851.3840124,657,582,147.6635742,580.5482788
219,804.5418558,768.4039319,596,529,133.2375793,524.619873
220,877.3612926,862.092192,735,639,167.4103546,658.0338745
221,652.6815982,655.4685091,607,379,138.2388916,541.9320679
222,765.7493661,747.9237779,654,478,148.2674408,582.3428955
223,938.8608815,947.8766903,908,686,207.3143768,816.2855835
224,1171.993308,1169.257142,1021,585,225.0926361,898.3918457
225,1021.793966,1002.238136,882,571,196.8412933,773.628479
226,860.8368536,859.1680488,835,567,188.2677612,739.5048218
227,1054.579441,1050.228944,939,584,211.7278748,833.4379272
228,1055.30595,1041.103975,945,570,211.8955231,832.6946411
229,919.9028315,915.9605372,853,526,192.1177979,754.6513062
230,1080.67339,1057.755888,887,572,198.3480377,778.8684082
269,1071.45257,1038.6883,889,572,200.2350464,785.0551758
270,,,1275,744,280.897522,1143.234253
271,1011.156699,1013.310986,962,580,218.9612122,862.2858887
272,,1297.375005,994,833,224.0215912,889.7334595
273,1049.046384,1013.009669,842,486,192.0213318,754.8619385
274,1018.992714,978.3755423,843,718,190.1841736,751.1268921
275,992.599422,934.1610213,772,693,175.0740662,685.9921875
276,993.2957623,986.3987213,970,572,216.5888977,850.6337891
277,1113.416849,1085.318133,955,813,216.3003845,848.8144531
278,986.9034214,981.8677457,958,584,215.8358002,847.6728516
279,1204.652268,1194.242592,1097,795,248.5870209,976.7020874
280,1413.745329,1377.860712,1172,795,264.8441162,1043.039551
281,1412.570412,1328.613147,1142,696,255.8312378,1019.484924
282,1201.497097,1184.728863,1058,838,237.9685669,935.6409302
283,1192.871165,1167.884932,1059,831,238.2958069,937.2700195
